Spell Name,Spell Level,Range,Duration,Description
Symbol (Magic-User),"Magic-User, 8th Level",Referee’s discretion (according to symbol),Varies (depends upon symbol used),"A Symbol spell creates a deadly magical trap, written into the shape of an arcane rune. The rune’s magic is activated when any person or creature hostile to the caster reads it, or passes over, under, or past it. Various different runes are known, and others may be possible: Symbol of Death: Deals a total of 75 hit points of damage. Symbol of Discord: Causes all creatures in the hostile group to begin arguing, and possibly fighting amongst themselves with lethal intent. Symbol of Fear: Casts a Fear spell. Symbol of Insanity: Up to 100 hit points of creatures are driven insane by a curse. Symbol of Sleep: Casts a Sleep spell affecting double the normal number of creatures and with double the normal duration. Symbol of Stunning: Up to 150 hit points of creatures are affected as per a Power Word, Stun."
Telekinesis,"Magic-User, 5th Level",120 feet,6 turns (1 hour),"The caster can move objects using mental power alone. The amount of weight that can be lifted and moved is 20 pounds per level. It is up to the Referee’s interpretation of the spell whether the objects can be thrown, and at what speed."
Teleport,"Magic-User, 5th Level",Touch,Instantaneous,"This spell transports the caster or another person to a destination that the caster knows, or at least knows what it looks like from a picture or a map. Success depends on how well the caster knows the targeted location, as follows: 1. If the caster has only seen the location in a picture or through a map (so that knowledge is not based on direct experience), there is only a 25% chance of success, and failure means death, for the traveler’s soul is lost in the spaces between realities. 2. If the caster has seen but not studied the location, there is a 20% chance of error. In the case of an error, there is a 50% chance that the traveler arrives low, 1d10 x10 feet below the intended location (with death resulting from arrival within a solid substance). If the error is high (over the 50% chance for a “low” arrival), the traveler arrives 1d10 x10 feet above the targeted location—likely resulting in a deadly fall. 3. If the caster is well familiar with the location, or has studied it carefully, there is only a 5% chance of error. On a 1 in 6 the teleport is low, otherwise it is high. In either case, the arrival is 1d4 x10 feet high or low."
Time Stop,"Magic-User, 9th Level",Caster,1d4+1 rounds,"The caster stops the passage of time in a radius of about 15 feet around himself. (The time-stopped area does not thereafter move with the caster.) Any creatures within this area are suspended in time, unable to act. The caster is not stopped in time while in the area or beyond."
Transmute Metal to Wood,"Druid, 7th Level",120 feet,Permanent,"This spell transmutes metal into wood in a 10-foot x 10-foot area. Each discrete piece of metal is allowed a saving throw. (Coins may be checked in batches rather than rolling hundreds of saving throws.) The effect cannot be dispelled, although a reversed version of this spell could be used to undo the transmutation."
Transmute Rock to Mud,"Druid, 5th Level; Magic-User, 5th Level",120 feet,"3d6 days, unless reversed","This spell transmutes rock (and any other form of earth, including sand) into mud. An area of roughly 300 x 300 feet becomes a deep mire, reducing movement to 10% of normal."
Transport via Plants,"Druid, 6th Level",Touch first plant,24 hours or until travel is completed,"The caster may enter any normal plant and pass any distance to a chosen plant of the same kind in a single round, regardless of the distance separating the two. Both plants must be alive. The caster may also choose to remain in one or the other of the two plants for up to 24 hours, but the destruction of an occupied plant slays the caster and ejects the body from the plant. The caster becomes aware of all plants within 3000 feet, and the spell will not fail if the attempted travel is made within this radius. However, if the caster attempts to travel beyond this radius into the substance of a plant the caster has never before seen – meaning that specific plant, not just the species – there is a 20% chance of error during travel. The exact nature of the error depends upon specific circumstances, but it is likely to be off by a margin of at least 1d6 miles, into any other sort of plant. Turn Wood See Repel Wood"
Wall of Fire,"Druid, 5th Level; Magic-User, 4th Level",60 feet,Concentration,"A wall of fire flares into being and burns for as long as the caster concentrates upon it. Creatures with 3 or fewer hit dice cannot pass through it, and no creature can see through it to the other side. Passing through the fire inflicts 1d6 hit points of damage (no saving throw) and undead creatures sustain twice the normal damage. The caster may choose to create a straight wall 60 feet long and 20 feet high, or a circular wall with a 15-foot radius, also 20 feet high."
Wall of Ice,"Magic-User, 4th Level",60 feet,Concentration,"The caster conjures up a wall of ice, six feet thick and non-transparent. The caster may choose to create a straight wall 60 feet long and 20 feet high, or a circular wall with a 15-foot radius, also 20 feet high. Creatures with 3 or fewer hit dice cannot affect the wall, but creatures of 4+ hit dice are able to smash through it, taking 1d6 points of damage in the process. Creatures with fire-based metabolisms take 2d6 instead of the normal 1d6. Fire spells and magical effects are negated in the vicinity of the wall."
Wall of Iron,"Magic-User, 5th Level",60 feet,2 hours,"The caster conjures an iron wall from thin air. The wall is 3 feet thick, 50 feet tall, and 50 feet long."
Wall of Stone,"Magic-User, 5th Level",60 feet,Permanent until dispelled,"The wall of stone conjured by this spell is two feet thick, with a surface area of 1,000 square feet. The caster might choose to make the wall 50 feet long (in which case it would be 20 feet tall), or 100 feet long (in which case it would be only 10 feet tall)."
Warp Wood,"Druid, 2nd Level",60 feet,Permanent,"This spell warps, bends, and twists wood. The volume of about one 2-inch x 4-inch x 5-foot plank may be affected per every two levels of the caster – the volume of a spear or several arrows. However, keep in mind that springing a door open or causing a leak in a ship’s planking does not actually require much of the constituent wood to be warped."
Water Breathing,"Druid, 3rd Level; Magic-User, 3rd Level",30 feet,2 hours,The recipient of the spell is able to breathe underwater until the spell’s duration expires.
Weather Summoning,"Druid, 6th Level",Centered on caster,1 hour/level,"Within 30 minutes, whatever weather the Druid desires will form in the surrounding five-mile radius. It is not under the caster’s control, in the sense that it will not specifically target any individuals or affect one place within the radius more than any other place. Note that this spell is not by any means the only way in which groups of druids might exercise control over weather conditions using holy places or acting together in mystic rituals. It is simply the manner by which a lone (but powerful) Druid can summon forth weather conditions using no ritual beyond mere spell casting."
Web,"Magic-User, 2nd Level",30 feet,8 hours,"Fibrous, sticky webs fill an area up to 10 x 10 x 20 feet. It is extremely difficult to get through the mass of strands—it takes one turn if a torch and sword (or a flaming sword) are used, and creatures larger than a horse can break through in 2 turns. Humans alone take more time to break through—perhaps 3–4 turns or longer at the Referee’s discretion."
Wind Walk,"Cleric, 7th Level",Touch,1 day or until dispelled,"The caster and one other person in contact with him become incorporeal and mist-like, able to travel through walls and other obstacles. The Cleric can bring this companion along and travel at 48 feet per minute indoors (or in subterranean settings) and much faster outdoors."
Wish,"Magic-User, 9th Level",Unlimited,See below,"This spell is not all-powerful; it grants wishes of limited scope (although more powerful than a Limited Wish). The Referee’s discretion will rule what sort of wishes are within the spell’s power. (One possible—unofficial—guideline might be that a Wish can grant effects that would be similar in power to a spell of level 8 or lower, with permanent effects in many cases.) After casting a Wish spell, the Magic-User is mentally drained and unable to cast spells for a period of 1d4 days."
Wizard Eye,"Magic-User, 4th Level",240 feet,1 hour,"The caster conjures up an invisible, magical “eye,” that can move a maximum of 240 feet from its creator. It floats along as directed by the caster, at a rate of 120 feet per turn (12 feet per minute)."
Wizard Lock,"Magic-User, 2nd Level",Close,Permanent until dispelled,"As with a Hold Portal spell, Wizard Lock holds a door closed, but it is permanent until dispelled. Creatures with magic resistance can shatter the spell without effort. Any Magic-User at least three levels higher than the caster can open the portal, and a Knock spell will open it as well, although the spell is not permanently destroyed in these cases."
Word of Recall,"Cleric, 6th Level",Indefinite,Immediate,The Cleric teleports without error back to a prepared sanctuary
